name,about,image,link
Walbottle choir,Meeting every two weeks in the Village Institute at 7:30pm for an hour. £2 per session,/assets/images/choir.jpg,#
Halloween trail, Our popular Halloween trail will take place on 31 October  starting from Walbotl Coffee House turn up between 4pm and 7pm.,assets/images/halloween.jpg,#
